Time-Stamp,DeviceID,DeviceType,Status,MAX_High_Current,MIN_High_Current,MAX_Mid_Current,MIN_Mid_Current,MAX_Low_Current,MIN_Low_Current,MAX_Off_Current,MIN_Off_Current,SW1,Current-1,SW2,Current-2,SW3,Current-3,SW4,Current-4,Lot_ID,Issue-Name,Print_Status,Firmware_Version
2024-07-04 10:26:46,F4CE3635CAA80442,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1057 mA,off,12 mA,1,948 mA,2,903 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE3635DB201590,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,961 mA,off,11 mA,1,1027 mA,2,1035 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3635E7C143C5,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1010 mA,off,12 mA,1,1047 mA,2,946 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE3636065D4138,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,937 mA,off,10 mA,1,1058 mA,2,941 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE36360AC70355,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,993 mA,off,11 mA,1,969 mA,2,970 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE363628D02DA2,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,998 mA,off,12 mA,1,948 mA,2,1060 mA,DEMO-L202411,,1,
2024-07-04 14:16:01,F4CE3636490DF538,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,821 mA,off,10 mA,1,771 mA,2,891 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE36369BCB2696,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1052 mA,off,13 mA,1,1039 mA,2,908 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3636C9EB5F7E,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1047 mA,off,12 mA,1,835 mA,2,1061 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE3636F5DDEAFD,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,888 mA,off,11 mA,1,943 mA,2,885 mA,DEMO-L202411,,1,
2024-07-01 16:06:31,F4CE3637A25F656D,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,986 mA,off,10 mA,1,834 mA,2,866 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE3637F2EB9CB6,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,822 mA,off,13 mA,1,885 mA,2,899 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE363834D4A3D8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,862 mA,off,11 mA,1,1005 mA,2,1025 mA,DEMO-L202411,,1,
2024-07-01 16:06:31,F4CE3638761FC12A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,841 mA,off,10 mA,1,1043 mA,2,956 mA,DEMO-L202411,,1,
